,Neighborhood,Population per Sqmi,Latitude,Longitude
184,Rolling Hills Estates,2185,33.78359000000006,-118.35376999999994
185,Rosemead,10332,34.08075000000008,-118.07561999999996
186,Rowland Heights,3604,33.98847000000006,-117.90538999999995
187,San Dimas,2244,34.10668000000004,-117.80297999999999
188,San Fernando,9856,34.28406000000007,-118.43843999999996
189,San Gabriel,9433,34.097230000000025,-118.10841999999997
190,San Marino,3428,34.12208000000004,-118.10520999999994
191,San Pasqual,8036,34.13781000000006,-118.10069999999996
192,San Pedro,6640,33.73787000000004,-118.28460999999999
193,Santa Clarita,2745,34.41387000000003,-118.55120999999997
194,Santa Fe Springs,2014,33.94649000000004,-118.08383999999995
195,Santa Monica,9817,34.01158000000004,-118.49226999999996
196,Sawtelle,13319,34.03057000000007,-118.46340999999995
197,Shadow Hills,1023,34.26273000000003,-118.35077999999999
198,Sherman Oaks,6687,34.15106000000003,-118.44433999999995
199,Sierra Madre,3563,34.16187000000008,-118.05715999999995
200,Signal Hill,4171,33.79677000000004,-118.16769999999997
201,Silver Lake,11266,34.082730000000026,-118.27306999999996
202,South El Monte,7150,34.046440000000075,-118.04325999999998
203,South Gate,12945,33.95722000000006,-118.20562999999999
204,South Park,21638,33.99740000000003,-118.26956999999999
205,South Pasadena,7114,34.11582000000004,-118.15175999999997
206,South San Gabriel,5708,34.06251000000003,-118.09034999999994
207,South San Jose Hills,13646,34.012650000000065,-117.90454999999997
208,South Whittier,10291,33.937220000000025,-118.03173999999996
209,Southeast Antelope Valley,27,34.4003247684866,-118.45925606884892
210,Stevenson Ranch,2765,34.390010000000075,-118.57888999999994
211,Studio City,5395,34.14453000000003,-118.39560999999998
212,Sun Valley,8048,34.21547000000004,-118.37033999999994
213,Sun Village,917,34.55952000000008,-117.95675999999997
214,Sunland,3825,34.259690000000035,-118.31423999999998
215,Sylmar,5579,34.310200000000066,-118.45307999999994
216,Tarzana,4038,34.175290000000075,-118.55009999999999
217,Temple City,8366,34.10728000000006,-118.05667999999997
218,Toluca Lake,6393,34.152190000000076,-118.34921999999995
219,Topanga,386,34.09719000000007,-118.60041999999999
220,Torrance,6701,33.83705000000003,-118.34311999999994
221,Tujunga,2649,34.25183000000004,-118.29096999999996
222,Tujunga Canyons,11,34.250229255311815,-118.288618691942
223,Unincorporated Catalina Island,2,34.16022438185897,-118.79277367074239
224,Unincorporated Santa Monica Mountains,100,34.10405000000003,-118.71103999999997
225,Unincorporated Santa Susana Mountains,58,34.39000000000004,-118.59369999999996
226,University Park,20217,34.02819000000005,-118.28396999999995
227,Val Verde,2588,34.445580000000064,-118.65769999999998
228,Valinda,10748,34.045240000000035,-117.94236999999998
229,Valley Glen,12325,34.187110000000075,-118.41380999999996
230,Valley Village,11600,34.16488000000004,-118.39802999999995
231,Van Nuys,11542,34.184390000000064,-118.44651999999996
232,Venice,11891,33.987540000000024,-118.47214999999994
233,Vermont Knolls,18057,34.092412551644095,-118.2910049644989
234,Vermont Square,17798,34.00058000000007,-118.29673999999994
235,Vermont Vista,14154,34.092412551644095,-118.2910049644989
236,Vermont-Slauson,18577,33.989186028752506,-118.23711058820078
237,Vernon,18,34.005130000000065,-118.23024999999996
238,Veterans Administration,683,33.941879259889745,-118.4223098226343
239,View Park-Windsor Hills,6008,33.995510000000024,-118.34834999999998
240,Vincent,10163,34.10705000000007,-117.91717999999997
241,Walnut,3329,34.02693000000005,-117.84049999999996
242,Walnut Park,22028,33.96948000000003,-118.22028999999998
243,Watts,17346,33.94128000000006,-118.23902999999996
244,West Adams,14686,34.02798000000007,-118.35313999999994
245,West Carson,9219,33.82221000000004,-118.29032999999998
246,West Compton,3291,33.893170000000055,-118.26738999999998
247,West Covina,6509,34.07214000000005,-117.93806999999998
248,West Hills,4551,34.200360000000046,-118.62932999999998
249,West Hollywood,18924,34.09069000000005,-118.37052999999997
250,West Los Angeles,12061,34.046470000000056,-118.43394999999998
251,West Puente Valley,12855,34.04370000000006,-117.95818999999995
252,West San Dimas,937,34.165203136471206,-117.76856270786676
253,West Whittier-Los Nietos,9899,33.976000000000056,-118.06908999999996
254,Westchester,3839,33.959730000000036,-118.41368999999997
255,Westlake,38214,34.053710000000024,-118.27129999999994
256,Westlake Village,1534,34.14987000000008,-118.81874999999997
257,Westmont,17066,33.94091000000003,-118.30247999999995
258,Westwood,13036,34.061680000000024,-118.44545
259,Whittier,5688,33.97542000000004,-118.03385999999995
260,Willowbrook,9117,33.91620000000006,-118.23025999999999
261,Wilmington,5636,33.78986000000003,-118.26321999999999
262,Windsor Square,8255,34.06896000000006,-118.31870999999995
263,Winnetka,9826,34.20329000000004,-118.57097999999996
264,Woodland Hills,4040,34.16889000000003,-118.61147999999997
